embed_size,hidden_size,learning_rate,weight_decay,seed,regularization,embed_config,is_collapsed_hidden,is_tied_hidden,is_collapsed_out,is_symmetric_input,slug,maxRatio,minTrainLoss,minEvalLoss
128,128,0.001,0.03,3,l2,untied,true,false,false,false,006684248869246678,9747979965536.768,5.231706112734965e-8,42387.97151273395
32,32,0.001,0.3,6,l2,tied,true,true,true,false,006688176934626533,2.712470225857492,10211.85104988022,27697.539824549483
128,128,0.01,0.1,6,l2,tied,false,false,false,false,006715603368891876,8711739479304.0625,1.4310961082812329e-8,4.1441888587341816e-8
32,32,0.001,0.1,3,l2,untied,false,false,false,false,0067161187804754,851.4514355395437,1556.9498888602147,42344.38178221147
128,128,0.0001,0.1,2,l2,tied,false,false,false,false,006736374645590737,11549385611863.416,5.619104248521537e-8,42361.10951311028
32,32,0.0001,0.3,5,l2,input_tied,false,true,false,false,006764837382051914,15551223734.40259,8.397501871490883e-8,7.143012509256778e-7
512,512,0.0001,0.01,7,l2,input_tied,false,true,true,true,006804570393813547,11792498732419.842,1.1053660653441109e-8,42306.83982663469
64,64,0.001,0.1,4,l2,tied,true,false,true,true,00682634526793835,3.573110944120955,5839.322933566151,20750.97779415195
512,512,0.001,1,3,l2,untied,true,false,false,true,00682962138864851,89316281931.77449,8.931197677998187e-7,0.00010784011527525054
512,512,0.01,0.3,4,l2,tied,true,true,true,false,006843685824763912,3.5851713656236,4990.7510554298715,17830.411253281098
256,256,0.0001,1,4,l2,untied,false,true,true,false,006868597597472603,96688846479.85672,0.0000014842582379070566,0.02807611057361925
64,64,0.001,0.1,1,l2,tied,true,false,true,true,0068731697746223785,3.5389242834834667,5892.393608280047,20731.38572372927
128,128,0.01,0.3,5,l2,input_tied,true,false,false,false,006878386556423477,160652.61093079747,2.1993717646127296e-7,0.00007773949740250836
512,512,0.0001,0.03,0,l2,tied,false,true,false,true,0068920699378327566,11819020600591.791,9.455469740502156e-9,25292.116756654512
64,64,0.001,0.3,8,l2,untied,false,true,false,false,006892654963650102,3240288457294.5146,8.512596538626427e-8,6.222371223667766e-7
