embed_size,hidden_size,learning_rate,weight_decay,seed,regularization,embed_config,is_collapsed_hidden,is_tied_hidden,is_collapsed_out,is_symmetric_input,slug,maxRatio,minTrainLoss,minEvalLoss
128,128,0.01,1e-9,3,l1,input_tied,true,true,true,false,00826612492976797,106410.01304758799,4.278720661661534e-7,0.0000026675189383249504
128,128,0.001,1e-10,0,l1,tied,false,true,true,false,008267769509358813,9346072.138211718,9.297125917155606e-9,0.00017284502805684922
64,64,0.001,1e-7,5,l1,tied,false,false,true,false,008627745311787116,7014.289309930213,0.000008911196014736572,0.00007193853907966581
64,64,0.001,1e-9,7,l1,tied,false,true,false,false,008774675247915531,113025.54621124206,1.6511019813092675e-8,6.061633993618977e-8
32,32,0.001,1e-11,4,l1,input_tied,true,false,false,false,00878958043884448,53610963.44996218,1.2347723699711985e-9,0.041954187776365164
256,256,0.001,1e-11,2,l1,input_tied,true,true,false,false,008851170456724011,30209526.79088158,4.717493908249754e-9,0.041973670520816714
32,32,0.0001,1e-11,1,l1,input_tied,false,true,true,false,008966239248067942,6688272.813608051,1.8976908468580377e-9,0.012692274099673453
512,512,0.0001,1e-10,5,l1,input_tied,false,true,true,false,008976628331155423,1110528.2471751468,6.028598746298924e-8,0.00474122758243399
128,128,0.001,1e-11,7,l1,input_tied,false,true,false,false,009029020575398228,110145249.65574783,1.68606380184245e-9,0.04193358133890467
256,256,0.0001,1e-9,3,l1,tied,true,true,false,false,009138639847433572,335809.3945601862,8.518831884977275e-8,7.828452760134112e-7
32,32,0.0001,1e-8,8,l1,tied,true,false,false,false,009459936983162831,3247.263453977559,5.387610240725422e-7,8.91038339541639e-7
32,32,0.01,1e-9,3,l1,tied,false,false,false,false,009528329560585469,15440.95966334526,1.6671283958964975e-8,2.6170207577405047e-8
128,128,0.0001,1e-8,2,l1,input_tied,false,false,false,false,009554639761429673,100515.62575381313,4.416415389288832e-7,0.00047926540096788063
32,32,0.01,1e-9,1,l1,input_tied,true,false,true,false,00968773402791634,72980.4509744536,5.002756291800513e-7,0.000035491415532141725
32,32,0.001,1e-10,0,l1,tied,true,false,true,false,00973729367778231,2.64237099478871,0.017490541880784954,0.02748300845500516
64,64,0.0001,1e-11,5,l1,input_tied,false,true,false,false,00976296955990441,106014987.2668439,1.1086275398278624e-9,0.04192707333090845
256,256,0.001,1e-7,6,l1,input_tied,false,true,true,false,010005729680497955,44.45118014368511,0.000009086602010908679,0.0002252452169126413
32,32,0.01,1e-9,1,l1,input_tied,false,true,false,false,010094845572923283,233309.13570578463,2.0810988896157543e-8,4.462511588065908e-7
512,512,0.001,1e-10,5,l1,tied,true,true,true,false,01010744296807431,6.862642420122194,0.00947765834572142,0.018026759559387387
256,256,0.01,1e-9,2,l1,tied,true,true,false,false,01050283376966521,253075.58307593095,4.1741950462136704e-8,1.1347549618233962e-7
128,128,0.001,1e-7,6,l1,tied,true,true,true,false,010670063469505942,1.6328959874309623,0.0116130417745869,0.017910520792331772
512,512,0.01,1e-9,8,l1,tied,true,true,false,false,010705097669978514,140389.12898443904,4.309119974914563e-8,1.4538174386816525e-7
64,64,0.001,1e-10,1,l1,input_tied,true,false,true,false,010777493200076926,1182931.1111726528,6.363460654425488e-8,0.03761087596812222
256,256,0.01,1e-10,3,l1,input_tied,true,false,false,false,01080531201748669,3188320.9746919163,6.201112435331546e-9,6.3783907967845e-7
32,32,0.001,1e-11,0,l1,input_tied,false,true,true,false,010810618339882394,49227446.49775311,1.2288664880260898e-9,0.04188471032806235
32,32,0.01,1e-9,5,l1,input_tied,true,true,false,false,010819243210984486,313218.4521293093,5.5823418336650734e-8,0.00000191627471598199
32,32,0.01,1e-8,4,l1,tied,false,true,false,false,01086663796576437,15.965532632305973,1.9079344807522965e-7,9.182088017444758e-7
512,512,0.001,1e-9,8,l1,tied,true,true,false,false,01092418420900676,133557.09166287415,4.7106923538235795e-8,1.011819448807581e-7
128,128,0.0001,1e-10,1,l1,input_tied,true,true,false,false,010973285098026198,5416902.80536016,3.367991756154251e-8,0.04196996871762554
512,512,0.001,1e-10,0,l1,tied,false,false,true,false,01132687185994874,2683854.5519424956,3.029525245548512e-8,0.04253718064159618
32,32,0.0001,1e-8,8,l1,tied,false,true,true,false,011355425063905078,6428.849996982359,6.528404495194642e-7,0.0000039226891475207544
128,128,0.001,1e-9,6,l1,tied,false,true,false,false,011507000892865826,557945.6086674012,1.8690829458059546e-8,3.8606195525585377e-7
32,32,0.0001,1e-11,8,l1,tied,true,false,true,false,01156639099704293,1.424542764580662,0.019033076896522533,0.026012579573561845
512,512,0.0001,1e-7,6,l1,input_tied,false,true,true,false,011580866777835652,330.22030330902567,0.000008966092399585262,0.00008014408720716552
64,64,0.001,1e-9,5,l1,tied,false,false,true,false,011638112644508869,3118472.4758997886,3.2813815904041053e-7,0.04192545467666863
32,32,0.0001,1e-10,1,l1,tied,false,false,false,false,011766619478563722,6426454.375503819,4.851288024762027e-9,0.014969307909805942
512,512,0.001,1e-9,8,l1,tied,false,false,true,false,0118034647547135,311921.6820835643,7.72325544391479e-8,0.00004754208882522564
512,512,0.0001,1e-9,0,l1,input_tied,true,true,false,false,011904999002276484,109101.5473024163,1.6308869999307205e-7,0.000023021789379399217
64,64,0.001,1e-10,8,l1,tied,true,true,true,false,012080108384553312,3.1266264437934197,0.010644532143038234,0.021169478763125037
128,128,0.001,1e-10,1,l1,input_tied,true,false,false,false,012357185788283598,5149948.735993767,1.8546185990887857e-8,0.001511763180796142
32,32,0.01,1e-9,0,l1,input_tied,false,false,true,false,012764534421828344,6111054.494877206,9.889003298994773e-8,0.0067179853970789245
512,512,0.01,1e-11,1,l1,input_tied,true,false,true,false,012950494599409779,7221869.853088603,6.863480925927391e-9,0.0025854922127922318
32,32,0.01,1e-7,5,l1,input_tied,true,true,false,false,013156039562945754,2.4598500799146175,0.0000070456212992724086,0.000015096267713351546
128,128,0.001,1e-8,2,l1,input_tied,false,true,true,false,013162073625061388,20731.89769200728,7.286978697169947e-7,0.0000058079808239064546
256,256,0.0001,1e-10,4,l1,input_tied,false,true,false,false,013197890208771934,3816432.3759556604,2.9420982100841976e-8,0.03718015127130418
64,64,0.0001,1e-10,2,l1,tied,true,false,true,false,013376328205517485,1.734141943766712,0.01220476049854597,0.020182000841167967
32,32,0.001,1e-11,2,l1,tied,true,false,true,false,013420722460085743,2.517099323402007,0.017640108830025092,0.026679461909809053
512,512,0.01,1e-10,2,l1,tied,true,false,true,false,013798827538809011,177.57458713808046,0.007409190325775824,0.01773112266562272
256,256,0.001,1e-10,2,l1,tied,true,true,true,false,013840198976692641,2.136649763962346,0.009753986193987523,0.01822551541670485
256,256,0.001,1e-10,0,l1,input_tied,false,true,true,false,013977413455447452,2193492.237833885,1.7819788113774728e-8,0.0004428123463264604
256,256,0.001,1e-7,5,l1,tied,false,true,false,false,014055551863412785,4.0935278125104695,0.0000022248101056697235,0.000007968196308361498
32,32,0.01,1e-7,4,l1,input_tied,false,true,false,false,014079691114164183,270.47063007463777,0.0000028028754986619047,0.000009863321815558824
512,512,0.001,1e-9,1,l1,input_tied,false,false,true,false,01409365525965145,105208.66423646046,9.002198589400215e-8,0.00003187784388325913
128,128,0.001,1e-11,3,l1,tied,true,false,true,false,01409888432570694,2.3236502459956636,0.009796662050350085,0.018839722325127456
512,512,0.01,1e-11,7,l1,tied,true,false,false,false,01424259705635178,30622213.360941976,7.262586093003222e-10,6.351623825392112e-7
32,32,0.001,1e-7,2,l1,tied,false,false,false,false,014275257332329039,872.4912231026991,0.0000027664375166307423,0.000022499787631110194
128,128,0.0001,1e-11,0,l1,input_tied,true,false,true,false,014387156176755789,5491389.17267637,2.3837387661445327e-8,0.04189559695489395
64,64,0.001,1e-7,7,l1,input_tied,false,false,true,false,014447301171045202,7410.846452029607,0.000011486213068299201,0.00019699196451667493
512,512,0.01,1e-9,3,l1,input_tied,false,false,true,false,014720490280767495,228542.47487864745,7.387585776882071e-8,0.0000018020506128338271
64,64,0.0001,1e-10,6,l1,input_tied,true,true,true,false,014855721756865004,1737146.2658182278,8.325323979579944e-8,0.04190097944397725
64,64,0.0001,1e-9,6,l1,tied,true,true,false,false,014864066661233077,383926.04432037234,7.212547826313117e-8,4.4366205049277054e-7
512,512,0.01,1e-8,1,l1,input_tied,true,false,false,false,014871668795734094,16.971663122847367,5.76623451300036e-7,0.0000034961408346144834
32,32,0.01,1e-10,8,l1,tied,false,true,false,false,01494360503417147,16127050.564473212,1.4675505646336548e-9,3.040000748122236e-8
64,64,0.01,1e-9,0,l1,tied,false,true,true,false,01501762031317233,381070.7199806991,4.6677819769521255e-8,8.904699765944056e-7
64,64,0.0001,1e-8,1,l1,tied,true,false,true,false,01511425327950644,1.8072938557327334,0.01219435699853509,0.020736460409396022
512,512,0.001,1e-7,8,l1,tied,true,true,true,false,015333642893559318,1.4514183881707432,0.011497567959268725,0.016335836807381453
128,128,0.01,1e-7,4,l1,tied,true,true,true,false,015459222467764544,1.5035209848591735,0.011653019635852557,0.01726451277790362
512,512,0.0001,1e-8,1,l1,input_tied,false,false,true,false,015562737457734732,7970.192120054591,0.0000013650118659941412,0.000582878202104121
128,128,0.001,1e-7,8,l1,tied,false,false,false,false,015679528834449674,5493.702165332416,0.0000019117298584017633,0.000002207891191655889
