n,k,train_size,hidden_size,weight_decay,w_init_scale,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,750,32,1,3,7,08104007568449534,7.7022208568745665,0.11556524783372879,0.7099835872650146
30,3,1500,32,1,1,2,08202037381312033,2.34793141154474,0.1008625254034996,0.18187399208545685
30,3,1000,32,1,3,5,08225438808238805,4.96633700308541,0.08529169857501984,0.31102171540260315
30,3,750,32,0.01,1,2,0837708677285035,49952846.04515671,1.1920930376163597e-7,0.7012442350387573
30,3,1750,32,1,0.1,7,08401685600958309,2.033066399661064,0.04169871658086777,0.04381680488586426
30,3,1000,32,0.03,1,3,08412164988122206,33961231.95150567,1.1920930376163597e-7,0.00007159289816627279
30,3,1250,32,0.1,10,4,08428661350883881,3017299.710689579,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1750,32,1,10,0,08478811123121799,1.8689106917191243,0.050030261278152466,0.05257449299097061
30,3,1250,32,1,1,5,0849457407048293,2.5943032809290627,0.06336415559053421,0.09814655035734177
30,3,1000,32,1,3,7,0849568148169948,5.055472912720191,0.11899323761463165,0.5955744981765747
30,3,750,32,0.03,0.3,2,08605862447100421,57580857.13582693,1.1920930376163597e-7,0.6969015598297119
30,3,1500,32,0.3,10,4,08635711306649263,21.64860595713271,1.192887850720581e-7,1.8730165152192058e-7
30,3,1000,32,0.3,3,6,08672704132383935,11916707.237074045,1.1920930376163597e-7,0.0018884255550801754
30,3,1250,32,0.3,3,5,08735087544727149,121285.370738514,1.1920930376163597e-7,2.4099352913253824e-7
30,3,1750,32,1,10,2,08871472821162252,1.768066915447875,0.05885300785303116,0.06332989782094955
30,3,750,32,1,0.1,6,08882920532613903,10.184279502120768,0.11697147786617279,0.6948156356811523
30,3,1750,32,0.3,1,0,08923688729910828,102.11023719252293,1.1920928955078125e-7,1.6301872562962672e-7
30,3,750,32,0.3,10,5,0892792706758262,38770932.5481978,1.1936823796077078e-7,0.7405171990394592
30,3,1250,32,0.01,0.1,6,0898832306894557,7058059.158613782,1.1920930376163597e-7,0.11838283389806747
30,3,1250,32,0.3,1,0,0918797272223203,103405.70207348316,1.1920930376163597e-7,1.7725231771237304e-7
30,3,1750,32,0.01,1,5,09209991073567081,131563.34375,1.1920928955078125e-7,0.0004237120447214693
30,3,1000,32,0.01,0.1,1,0922945212920302,33938091.95426417,1.1920930376163597e-7,0.6949265599250793
30,3,1500,32,0.1,3,7,09397158209460943,4305.715231239584,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1000,32,0.03,10,6,09557251965946167,39103207.33853444,1.1920930376163597e-7,0.003505393862724304
30,3,1250,32,0.01,0.3,1,09567881085311492,4788962.429111191,1.1920930376163597e-7,0.06659539043903351
