train_size,hidden_size,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
1500,20,0.1,6,09663231561957919,3676.2051281684485,1.1920930376163597e-7,1.1920930376163597e-7
1750,8,0.1,6,09666130751947644,7.53952507570224,1.2506758650943084e-7,1.3380052621414507e-7
1000,16,0.1,0,09838760114941625,503114.2562501696,1.1920930376163597e-7,1.1930467280762969e-7
1000,20,0.01,5,10002019808433493,21730309.200122062,1.1920930376163597e-7,0.7043035626411438
1750,20,0.3,7,10189817117841016,1.7314509253672146,1.1920928955078125e-7,1.22630609666885e-7
1000,8,0.01,8,10414099834647228,1.560667838114476,0.08317789435386658,0.08458883315324783
1000,20,0.03,0,10674269780518542,17557711.433511827,1.1920930376163597e-7,0.000002158477400371339
2000,16,1,4,10695486534396259,1.2869053391726086,0.19161686301231384,0.196713387966156
1000,4,0.01,7,10724015410334697,2.048668650577586,0.5615535974502563,0.7037959098815918
1500,16,0.1,6,10744948947966249,1071.2503605782556,1.1920930376163597e-7,1.1920930376163597e-7
2000,12,0.1,8,10758565262211583,10504.92489617345,1.1920930376163597e-7,1.1920930376163597e-7
2000,12,0.3,7,10900961768113071,1.3209997355045129,1.1938811894651735e-7,1.2013914840736106e-7
1500,12,1,7,11056458403240066,1.6317379029527879,0.3733374774456024,0.5464871525764465
1250,8,0.01,5,11128037634197985,6.914590488125028,1.1920930376163597e-7,1.219511176486776e-7
1500,16,0.1,7,11177283978201591,3105.872188344933,1.1920930376163597e-7,1.199007186869494e-7
1500,20,0.03,7,11186706010462244,21240.64785854246,1.1920930376163597e-7,1.19876887083592e-7
1500,8,0.3,6,11388295353231281,1.39076991592755,0.0014564127195626497,0.0015986994840204716
2000,20,0.01,0,11497063395263885,12803.295348728258,1.1920930376163597e-7,0.000006622788987442618
1500,8,1,1,11692163414754331,1.2919325951450547,0.3969917893409729,0.4080142676830292
1250,16,0.01,8,11762319067712557,12780.614687369503,1.1920930376163597e-7,0.0000011685912113534869
1250,16,0.01,3,11766667037489931,46035.71326211533,1.1920930376163597e-7,3.060725077830284e-7
1000,8,1,5,1188480719543995,1.4953181290521897,0.5316222906112671,0.695236086845398
1000,16,0.01,5,11896261292934329,68809.63611788425,1.1920930376163597e-7,0.000019127835912513547
2000,4,0.03,1,1192736503524513,1.1473257498321952,0.1708609163761139,0.17079156637191772
1750,4,1,5,11945822036707021,1.1348162760469753,0.6476350426673889,0.7001205682754517
1500,8,1,5,12202007883889487,1.2733490623128192,0.4380234181880951,0.44785937666893005
