embed_size,hidden_size,learning_rate,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
128,1024,0.0003,0.1,4,03541509224981887,2920485333949.2656,1.498754476067143e-8,7883.103855418658
16,1024,0.01,1,6,03585954189957774,14285412.25855752,1.8364053697721395e-7,0.0000016196095331924115
64,256,0.001,1,3,03590116395936305,145293778519.61188,1.234633619687066e-7,0.000001497795472954953
128,512,0.01,0.3,4,036408470842158036,445085559189.5092,2.7656366529734052e-8,2.5811121703109113e-7
128,512,0.001,0.03,7,03648143932554937,11482254019213.844,4.7954382686868645e-9,7905.35283830918
8,64,0.01,1,1,03652116321479382,164.56557967489763,0.000005218079362710147,0.00004880856552360696
32,128,0.001,0.3,6,03657714777898091,1169782655076.8972,2.9943047818410226e-8,2.141465402600127e-7
64,512,0.01,3,6,036917925918666605,1888.5203718142602,8.975718250081532e-7,0.000030464081825740714
8,64,0.003,0.1,1,0371560763200367,89246073.8349219,1.441653307822267e-8,6.280161102085205e-8
64,512,0.0003,0.3,6,037159695953773,1044939958811.046,2.7558513026657013e-8,1.804325984029824e-7
32,64,0.001,0.1,7,037211689216531174,5965532409627.558,1.7024900600197875e-8,7828.218992139862
32,64,0.01,1,1,037291484501604244,224663.36360690292,1.800311681723141e-7,0.000004219064314725085
16,1024,0.0001,0.03,3,037336902256299376,30860830164118.32,2.970115708927398e-9,7815.0867240695925
8,512,0.0003,1,2,03749044225111153,8748716789.124508,0.000007832339639075892,7814.767844351359
128,128,0.003,1,3,03787672946076526,146638201436.5153,1.190415486091929e-7,0.0000016520651065833119
16,512,0.0003,3,7,03790754760073245,269.9074347026849,0.0002992304810678091,0.001868392323217762
32,64,0.0003,0.03,7,03810311140497391,23429783553749.69,5.948307180123728e-9,7824.635408835108
128,128,0.001,0.03,0,03819821862365447,14355977982543.26,5.16576648122433e-9,7870.938320818175
32,256,0.001,0.1,4,03827805686429919,4307786629903.733,8.862928391141847e-9,5.222044130323851e-8
8,1024,0.0001,0.03,6,03830706924373117,27848410523205.48,3.6641121248139215e-9,7813.1817459947015
16,256,0.001,0.03,0,0383737198054408,21528336624512.707,4.610676729285372e-9,7817.879664248202
8,64,0.001,0.03,8,03842678055196225,72848911.32880864,0.0072759063987470176,7816.837703779047
64,1024,0.001,0.3,7,038465384638461386,926601036546.9425,2.7565788984284765e-8,1.88767010452986e-7
8,512,0.001,0.03,3,03874639063788787,17309058156753.662,4.032579159472567e-9,7813.657070289455
32,64,0.0001,0.3,6,0388225732870181,1552657920046.5103,6.997994339234749e-8,7821.532372574353
8,256,0.001,0.03,1,038937004116633034,22890644956143.992,6.6071734749692135e-9,7812.491258334479
128,512,0.0003,3,0,03912396641505533,21102775339.65969,6.118101440870381e-7,0.00002395649451164502
128,128,0.001,1,5,03959034714235932,181433657995.26675,1.1172070889818312e-7,7.985042659996839e-7
16,256,0.0003,3,5,04006694918552389,10.933605732806518,1.124329825320984,4.677340255005598
16,64,0.0001,0.1,3,04010845596268464,7379631887448.698,2.657972530906775e-8,7813.947950796226
128,512,0.0001,0.1,5,04041811416460939,3262574177327.0986,1.719558784234028e-8,7862.073927870475
8,256,0.0001,0.1,5,040494513818760236,5123841027682.493,2.4858615831946355e-8,7814.082029650064
32,512,0.001,0.1,2,04057915871035689,4462802963880.407,8.996687172969232e-9,6.187733170125082e-8
128,64,0.0001,0.1,0,04068041306974679,5387248313307.442,2.0899166841280145e-8,7852.261015228173
128,128,0.0003,1,2,041203133055020325,208402733196.43073,1.1817662469894281e-7,0.000001283944126395369
32,512,0.003,0.1,6,04142000400014223,3923755712321.343,8.792073513623612e-9,8.711520548966077e-8
32,1024,0.003,0.3,1,04150825336061337,786624334599.0801,3.094860456736328e-8,3.666010445535259e-7
16,512,0.003,3,7,041873292723635824,162.9253493631401,0.00012626567054153806,0.0007861557009917155
16,128,0.003,0.1,5,042011573276107606,5441967511891.677,8.90446694152007e-9,3.911360701936112e-8
32,256,0.001,3,7,04209994482895263,18759.42011117091,1.1640774218178227,7830.296404325695
128,64,0.003,0.3,0,04245853282912204,1142891276780.7344,2.7791366762901775e-8,2.1588409657217764e-7
16,256,0.0001,1,1,042961754741512315,69459681358.77573,5.604502924052444e-7,7817.7604859076455
128,512,0.01,1,7,043067967769926496,2504827.0704311067,1.0438799890463544e-7,7.093111052352116e-7
128,64,0.003,0.3,2,043071349490268585,1178829952231.1067,2.944887511558018e-8,7.080864328662665e-7
32,1024,0.001,3,8,04316885803848791,3288811979.343155,0.000010436442828173222,7835.483841837525
64,512,0.001,0.3,1,04344001949905796,905765111340.2661,2.7961735593101017e-8,1.927987567232891e-7
16,64,0.001,0.1,1,0434463661020712,7256457202366.379,1.0370372560602859e-8,9.174605985304443e-8
128,256,0.003,0.03,4,04359010042965228,12584356725905.957,2.6742226211191063e-9,5.639766342467685e-8
64,64,0.0001,1,3,043859103919163256,206720127206.83585,2.722020213144388e-7,6399.5022863737595
32,256,0.003,1,3,04412572176277507,20395558287.52358,1.5186529787771712e-7,0.0000019490994030606426
8,1024,0.0003,0.3,1,04473139471720711,1102705817222.7134,7.865260908791603e-8,7816.452245210085
8,1024,0.003,0.3,4,04481034271926021,619867740545.8896,4.618638960038273e-8,1.5582529466054315e-7
32,512,0.0001,0.3,6,04492453116335959,1304915035250.948,5.051843920806306e-8,7823.63714059407
8,256,0.0003,3,0,04536409438651445,3.2471717976124954,1277.1790795111724,3374.0840652776756
32,128,0.01,0.1,4,04550221362545248,3358832119845.389,9.096844166777472e-9,5.699616223275412e-8
8,1024,0.01,0.3,7,04563298821408046,47645.92783761492,4.062663072518038e-8,1.4208015141582259e-7
16,128,0.01,0.3,5,04586363647972391,949917798617.474,3.332061826383207e-8,2.059366110804447e-7
8,64,0.001,0.1,3,04586720924516463,3056562.891064115,1.1670709287723122e-8,4.850660473196428e-8
64,512,0.0001,0.1,0,04605195262549422,4065606631812.385,1.5290333221639945e-8,7843.2044518705425
16,1024,0.0003,0.1,8,04606575600970464,7430693294954.099,1.1224015716763896e-8,7820.011117710412
16,512,0.01,3,0,04613652491316311,35.10640288295361,0.00014319628288196346,0.0011083472639678836
16,256,0.0001,0.1,2,046291507437528745,6405258452806.978,1.769971014176613e-8,7817.5921219976635
16,64,0.0001,0.1,2,04677184984484639,8139070993056.153,2.869591231237427e-8,7816.904357059762
32,64,0.003,0.3,5,046812237806500234,1220024888220.9146,3.186864772004223e-8,3.1389535318004744e-7
64,128,0.01,1,0,04687960694138826,13899899.355595257,1.3525294927292405e-7,0.000001948436423450523
16,128,0.001,0.1,8,04724983246752068,5700655262844.133,9.551735846650664e-9,7.350092356666903e-8
64,1024,0.003,0.03,8,04726231706752315,14811298770346.611,2.4711535040425938e-9,2.5651099688410352e-8
32,1024,0.01,0.3,4,04727849383922311,445554052695.4293,2.9026432368254294e-8,1.9449656350729732e-7
16,64,0.0001,0.03,3,0474277043035517,31409183509918.81,7.709921367956485e-9,7814.035503068549
128,128,0.0001,1,7,04757509298718976,225402526160.17038,1.1403615939520037e-7,0.0000011771927780455778
8,64,0.0001,3,5,047823708243263874,2.5350088790746272,1944.5583370270585,4711.477479558014
64,64,0.0001,1,6,04806888112803498,208220218174.26703,3.8347575949717113e-7,7840.249781990917
8,1024,0.0003,0.03,2,04860094873579679,29079607246251.457,3.7125200691332107e-9,7814.05020579404
64,256,0.001,1,1,04892037134929417,156971429722.8266,1.2727954822377548e-7,0.0000014045184469664155
128,1024,0.001,0.03,1,04901922156594141,11176898408419.586,4.6900883177025495e-9,7954.757849226235
16,512,0.0003,0.3,0,049264695522714286,1352844046028.5833,5.731397156653237e-8,7818.327889121447
32,256,0.003,0.03,3,049467954815826554,16503362728295.613,2.753325789578523e-9,6.64706535937554e-8
16,256,0.001,0.1,8,04953989887962151,5805243909766.3,1.7683902120214555e-8,7821.286993427028
32,512,0.001,3,3,04973183090636202,204098847.5754481,0.00016753575096452303,7833.216833983019
64,256,0.0003,0.03,6,04975558190840579,14729391201950.088,4.873236481002973e-9,7833.0136098696
8,256,0.001,1,2,04985509855976966,78218599.19374421,0.0005172852840243009,7811.614138632922
8,64,0.001,0.03,1,0499888882434919,1437201213480.9314,4.020887622845952e-9,1.8537813506279845e-8
8,256,0.01,0.03,6,05004067241455101,12191727074662.395,2.5888311494483475e-9,9.949953305690516e-9
128,64,0.001,0.03,1,05010555529578076,18517441934385.965,5.381923351403073e-9,7866.291741433713
8,256,0.003,0.03,6,05046472629417165,552669080521.3842,2.925004682899751e-9,1.136843241762989e-8
